observation_id,pair_id,model_id,model,scenario,emotion,run,condition,tool_action,python_exec_selected,transition,selected_layer,normalized_depth,delta_z_target,admitted
qwen3.6-35b/s01/desperate/run-1/neutral,qwen3.6-35b/s01/desperate/run-1,qwen3.6-35b,Qwen3.6-35B,S01,Desperate,1,neutral,python_exec,1,P->P,25,0.625,1.9441,False
qwen3.6-35b/s01/desperate/run-1/affective,qwen3.6-35b/s01/desperate/run-1,qwen3.6-35b,Qwen3.6-35B,S01,Desperate,1,affective,python_exec,1,P->P,25,0.625,1.9441,False
qwen3.6-35b/s01/desperate/run-2/neutral,qwen3.6-35b/s01/desperate/run-2,qwen3.6-35b,Qwen3.6-35B,S01,Desperate,2,neutral,python_exec,1,P->P,25,0.625,0.947,False
qwen3.6-35b/s01/desperate/run-2/affective,qwen3.6-35b/s01/desperate/run-2,qwen3.6-35b,Qwen3.6-35B,S01,Desperate,2,affective,python_exec,1,P->P,25,0.625,0.947,False
qwen3.6-35b/s01/calm/run-1/neutral,qwen3.6-35b/s01/calm/run-1,qwen3.6-35b,Qwen3.6-35B,S01,Calm,1,neutral,python_exec,1,P->P,25,0.625,1.1106,False
qwen3.6-35b/s01/calm/run-1/affective,qwen3.6-35b/s01/calm/run-1,qwen3.6-35b,Qwen3.6-35B,S01,Calm,1,affective,python_exec,1,P->P,25,0.625,1.1106,False
qwen3.6-35b/s01/calm/run-2/neutral,qwen3.6-35b/s01/calm/run-2,qwen3.6-35b,Qwen3.6-35B,S01,Calm,2,neutral,python_exec,1,P->P,25,0.625,1.2956,False
qwen3.6-35b/s01/calm/run-2/affective,qwen3.6-35b/s01/calm/run-2,qwen3.6-35b,Qwen3.6-35B,S01,Calm,2,affective,python_exec,1,P->P,25,0.625,1.2956,False
qwen3.6-35b/s01/afraid/run-1/neutral,qwen3.6-35b/s01/afraid/run-1,qwen3.6-35b,Qwen3.6-35B,S01,Afraid,1,neutral,python_exec,1,P->P,25,0.625,1.8282,False
qwen3.6-35b/s01/afraid/run-1/affective,qwen3.6-35b/s01/afraid/run-1,qwen3.6-35b,Qwen3.6-35B,S01,Afraid,1,affective,python_exec,1,P->P,25,0.625,1.8282,False
qwen3.6-35b/s01/afraid/run-2/neutral,qwen3.6-35b/s01/afraid/run-2,qwen3.6-35b,Qwen3.6-35B,S01,Afraid,2,neutral,review_only,0,F,25,0.625,0.9982,False
qwen3.6-35b/s01/afraid/run-2/affective,qwen3.6-35b/s01/afraid/run-2,qwen3.6-35b,Qwen3.6-35B,S01,Afraid,2,affective,python_exec,1,F,25,0.625,0.9982,False
qwen3.6-35b/s01/loving/run-1/neutral,qwen3.6-35b/s01/loving/run-1,qwen3.6-35b,Qwen3.6-35B,S01,Loving,1,neutral,review_only,0,F,25,0.625,1.5244,False
qwen3.6-35b/s01/loving/run-1/affective,qwen3.6-35b/s01/loving/run-1,qwen3.6-35b,Qwen3.6-35B,S01,Loving,1,affective,python_exec,1,F,25,0.625,1.5244,False
qwen3.6-35b/s01/loving/run-2/neutral,qwen3.6-35b/s01/loving/run-2,qwen3.6-35b,Qwen3.6-35B,S01,Loving,2,neutral,python_exec,1,P->P,25,0.625,2.2319,False
qwen3.6-35b/s01/loving/run-2/affective,qwen3.6-35b/s01/loving/run-2,qwen3.6-35b,Qwen3.6-35B,S01,Loving,2,affective,python_exec,1,P->P,25,0.625,2.2319,False
qwen3.6-35b/s01/happy/run-1/neutral,qwen3.6-35b/s01/happy/run-1,qwen3.6-35b,Qwen3.6-35B,S01,Happy,1,neutral,python_exec,1,P->P,25,0.625,3.1928,False
qwen3.6-35b/s01/happy/run-1/affective,qwen3.6-35b/s01/happy/run-1,qwen3.6-35b,Qwen3.6-35B,S01,Happy,1,affective,python_exec,1,P->P,25,0.625,3.1928,False
qwen3.6-35b/s01/happy/run-2/neutral,qwen3.6-35b/s01/happy/run-2,qwen3.6-35b,Qwen3.6-35B,S01,Happy,2,neutral,python_exec,1,P->P,25,0.625,2.1826,False
qwen3.6-35b/s01/happy/run-2/affective,qwen3.6-35b/s01/happy/run-2,qwen3.6-35b,Qwen3.6-35B,S01,Happy,2,affective,python_exec,1,P->P,25,0.625,2.1826,False
qwen3.6-35b/s01/angry/run-1/neutral,qwen3.6-35b/s01/angry/run-1,qwen3.6-35b,Qwen3.6-35B,S01,Angry,1,neutral,review_only,0,F,25,0.625,1.4468,False
qwen3.6-35b/s01/angry/run-1/affective,qwen3.6-35b/s01/angry/run-1,qwen3.6-35b,Qwen3.6-35B,S01,Angry,1,affective,python_exec,1,F,25,0.625,1.4468,False
qwen3.6-35b/s01/angry/run-2/neutral,qwen3.6-35b/s01/angry/run-2,qwen3.6-35b,Qwen3.6-35B,S01,Angry,2,neutral,python_exec,1,P->P,25,0.625,1.3659,False
qwen3.6-35b/s01/angry/run-2/affective,qwen3.6-35b/s01/angry/run-2,qwen3.6-35b,Qwen3.6-35B,S01,Angry,2,affective,python_exec,1,P->P,25,0.625,1.3659,False
qwen3.6-35b/s01/guilty/run-1/neutral,qwen3.6-35b/s01/guilty/run-1,qwen3.6-35b,Qwen3.6-35B,S01,Guilty,1,neutral,python_exec,1,P->P,25,0.625,0.6491,False
qwen3.6-35b/s01/guilty/run-1/affective,qwen3.6-35b/s01/guilty/run-1,qwen3.6-35b,Qwen3.6-35B,S01,Guilty,1,affective,python_exec,1,P->P,25,0.625,0.6491,False
qwen3.6-35b/s01/guilty/run-2/neutral,qwen3.6-35b/s01/guilty/run-2,qwen3.6-35b,Qwen3.6-35B,S01,Guilty,2,neutral,python_exec,1,P->P,25,0.625,2.9592,False
qwen3.6-35b/s01/guilty/run-2/affective,qwen3.6-35b/s01/guilty/run-2,qwen3.6-35b,Qwen3.6-35B,S01,Guilty,2,affective,python_exec,1,P->P,25,0.625,2.9592,False
qwen3.6-35b/s01/anxious/run-1/neutral,qwen3.6-35b/s01/anxious/run-1,qwen3.6-35b,Qwen3.6-35B,S01,Anxious,1,neutral,review_only,0,F,25,0.625,2.9593,False
qwen3.6-35b/s01/anxious/run-1/affective,qwen3.6-35b/s01/anxious/run-1,qwen3.6-35b,Qwen3.6-35B,S01,Anxious,1,affective,python_exec,1,F,25,0.625,2.9593,False
qwen3.6-35b/s01/anxious/run-2/neutral,qwen3.6-35b/s01/anxious/run-2,qwen3.6-35b,Qwen3.6-35B,S01,Anxious,2,neutral,python_exec,1,P->P,25,0.625,1.3881,False
qwen3.6-35b/s01/anxious/run-2/affective,qwen3.6-35b/s01/anxious/run-2,qwen3.6-35b,Qwen3.6-35B,S01,Anxious,2,affective,python_exec,1,P->P,25,0.625,1.3881,False
qwen3.6-35b/s02/desperate/run-1/neutral,qwen3.6-35b/s02/desperate/run-1,qwen3.6-35b,Qwen3.6-35B,S02,Desperate,1,neutral,python_exec,1,P->P,25,0.625,-0.5222,False
qwen3.6-35b/s02/desperate/run-1/affective,qwen3.6-35b/s02/desperate/run-1,qwen3.6-35b,Qwen3.6-35B,S02,Desperate,1,affective,python_exec,1,P->P,25,0.625,-0.5222,False
qwen3.6-35b/s02/desperate/run-2/neutral,qwen3.6-35b/s02/desperate/run-2,qwen3.6-35b,Qwen3.6-35B,S02,Desperate,2,neutral,python_exec,1,P->P,25,0.625,1.5122,False
qwen3.6-35b/s02/desperate/run-2/affective,qwen3.6-35b/s02/desperate/run-2,qwen3.6-35b,Qwen3.6-35B,S02,Desperate,2,affective,python_exec,1,P->P,25,0.625,1.5122,False
qwen3.6-35b/s02/calm/run-1/neutral,qwen3.6-35b/s02/calm/run-1,qwen3.6-35b,Qwen3.6-35B,S02,Calm,1,neutral,review_only,0,F,25,0.625,1.4278,False
qwen3.6-35b/s02/calm/run-1/affective,qwen3.6-35b/s02/calm/run-1,qwen3.6-35b,Qwen3.6-35B,S02,Calm,1,affective,python_exec,1,F,25,0.625,1.4278,False
qwen3.6-35b/s02/calm/run-2/neutral,qwen3.6-35b/s02/calm/run-2,qwen3.6-35b,Qwen3.6-35B,S02,Calm,2,neutral,python_exec,1,P->P,25,0.625,0.8758,False
qwen3.6-35b/s02/calm/run-2/affective,qwen3.6-35b/s02/calm/run-2,qwen3.6-35b,Qwen3.6-35B,S02,Calm,2,affective,python_exec,1,P->P,25,0.625,0.8758,False
qwen3.6-35b/s02/afraid/run-1/neutral,qwen3.6-35b/s02/afraid/run-1,qwen3.6-35b,Qwen3.6-35B,S02,Afraid,1,neutral,python_exec,1,P->P,25,0.625,0.9082,False
qwen3.6-35b/s02/afraid/run-1/affective,qwen3.6-35b/s02/afraid/run-1,qwen3.6-35b,Qwen3.6-35B,S02,Afraid,1,affective,python_exec,1,P->P,25,0.625,0.9082,False
qwen3.6-35b/s02/afraid/run-2/neutral,qwen3.6-35b/s02/afraid/run-2,qwen3.6-35b,Qwen3.6-35B,S02,Afraid,2,neutral,python_exec,1,P->P,25,0.625,0.55,False
qwen3.6-35b/s02/afraid/run-2/affective,qwen3.6-35b/s02/afraid/run-2,qwen3.6-35b,Qwen3.6-35B,S02,Afraid,2,affective,python_exec,1,P->P,25,0.625,0.55,False
