model_id,model,emotion,F,C_same,C_swap,P_to_P,P_to_S,affective_python_exec,neutral_python_exec,pair_total
qwen3.6-35b,Qwen3.6-35B,Desperate,19,0,0,61,0,80,61,80
qwen3.6-35b,Qwen3.6-35B,Calm,19,0,0,60,1,79,61,80
qwen3.6-35b,Qwen3.6-35B,Afraid,23,0,0,54,3,77,57,80
qwen3.6-35b,Qwen3.6-35B,Loving,19,2,1,57,1,76,58,80
qwen3.6-35b,Qwen3.6-35B,Happy,19,0,0,58,3,77,61,80
qwen3.6-35b,Qwen3.6-35B,Angry,23,0,0,56,1,79,57,80
qwen3.6-35b,Qwen3.6-35B,Guilty,21,0,0,58,1,79,59,80
qwen3.6-35b,Qwen3.6-35B,Anxious,25,0,0,53,2,78,55,80
qwen3.6-27b,Qwen3.6-27B,Desperate,15,56,8,0,1,15,1,80
qwen3.6-27b,Qwen3.6-27B,Calm,8,63,8,1,0,9,1,80
qwen3.6-27b,Qwen3.6-27B,Afraid,31,44,5,0,0,31,0,80
qwen3.6-27b,Qwen3.6-27B,Loving,22,46,10,2,0,24,2,80
qwen3.6-27b,Qwen3.6-27B,Happy,18,54,8,0,0,18,0,80
qwen3.6-27b,Qwen3.6-27B,Angry,34,39,7,0,0,34,0,80
qwen3.6-27b,Qwen3.6-27B,Guilty,32,45,3,0,0,32,0,80
qwen3.6-27b,Qwen3.6-27B,Anxious,11,55,9,5,0,16,5,80
qwen3-32b,Qwen3-32B,Desperate,12,55,8,5,0,17,5,80
qwen3-32b,Qwen3-32B,Calm,7,64,8,1,0,8,1,80
qwen3-32b,Qwen3-32B,Afraid,34,43,3,0,0,34,0,80
qwen3-32b,Qwen3-32B,Loving,25,46,9,0,0,25,0,80
qwen3-32b,Qwen3-32B,Happy,20,53,7,0,0,20,0,80
qwen3-32b,Qwen3-32B,Angry,33,37,10,0,0,33,0,80
qwen3-32b,Qwen3-32B,Guilty,35,37,6,1,1,36,2,80
qwen3-32b,Qwen3-32B,Anxious,18,56,6,0,0,18,0,80
gemma-4-31b,Gemma-4-31B,Desperate,27,49,4,0,0,27,0,80
gemma-4-31b,Gemma-4-31B,Calm,15,55,9,1,0,16,1,80
gemma-4-31b,Gemma-4-31B,Afraid,46,28,6,0,0,46,0,80
gemma-4-31b,Gemma-4-31B,Loving,38,35,6,0,1,38,1,80
gemma-4-31b,Gemma-4-31B,Happy,31,43,6,0,0,31,0,80
gemma-4-31b,Gemma-4-31B,Angry,42,30,1,5,2,47,7,80
gemma-4-31b,Gemma-4-31B,Guilty,34,29,3,14,0,48,14,80
gemma-4-31b,Gemma-4-31B,Anxious,19,41,11,9,0,28,9,80
gemma-3-27b,Gemma-3-27B,Desperate,26,32,6,16,0,42,16,80
gemma-3-27b,Gemma-3-27B,Calm,28,41,11,0,0,28,0,80
gemma-3-27b,Gemma-3-27B,Afraid,33,20,0,27,0,60,27,80
gemma-3-27b,Gemma-3-27B,Loving,53,22,4,0,1,53,1,80
gemma-3-27b,Gemma-3-27B,Happy,35,31,2,12,0,47,12,80
gemma-3-27b,Gemma-3-27B,Angry,31,16,1,30,2,61,32,80
gemma-3-27b,Gemma-3-27B,Guilty,42,14,2,20,2,62,22,80
gemma-3-27b,Gemma-3-27B,Anxious,29,29,4,15,3,44,18,80
olmo-3.1-32b,OLMo-3.1-32B,Desperate,80,0,0,0,0,80,0,80
olmo-3.1-32b,OLMo-3.1-32B,Calm,80,0,0,0,0,80,0,80
olmo-3.1-32b,OLMo-3.1-32B,Afraid,80,0,0,0,0,80,0,80
olmo-3.1-32b,OLMo-3.1-32B,Loving,80,0,0,0,0,80,0,80
olmo-3.1-32b,OLMo-3.1-32B,Happy,80,0,0,0,0,80,0,80
olmo-3.1-32b,OLMo-3.1-32B,Angry,80,0,0,0,0,80,0,80
olmo-3.1-32b,OLMo-3.1-32B,Guilty,80,0,0,0,0,80,0,80
olmo-3.1-32b,OLMo-3.1-32B,Anxious,80,0,0,0,0,80,0,80
mistral-small-3.2-24b,Mistral-Small-3.2-24B,Desperate,6,0,0,74,0,80,74,80
mistral-small-3.2-24b,Mistral-Small-3.2-24B,Calm,3,0,0,77,0,80,77,80
mistral-small-3.2-24b,Mistral-Small-3.2-24B,Afraid,5,0,0,75,0,80,75,80
mistral-small-3.2-24b,Mistral-Small-3.2-24B,Loving,14,0,0,66,0,80,66,80
mistral-small-3.2-24b,Mistral-Small-3.2-24B,Happy,9,0,0,71,0,80,71,80
mistral-small-3.2-24b,Mistral-Small-3.2-24B,Angry,4,0,0,76,0,80,76,80
mistral-small-3.2-24b,Mistral-Small-3.2-24B,Guilty,2,0,0,78,0,80,78,80
mistral-small-3.2-24b,Mistral-Small-3.2-24B,Anxious,4,0,0,76,0,80,76,80
