model_id,model,layer,n_layers,normalized_depth,zbar,ci_lo,ci_hi,se,zbar_over_peak
qwen3.6-35b,Qwen3.6-35B,1,40,0.025,0.0066,-0.0066,0.0199,0.00677,0.0036
qwen3.6-35b,Qwen3.6-35B,2,40,0.05,0.0097,-0.0034,0.0228,0.00669,0.0053
qwen3.6-35b,Qwen3.6-35B,3,40,0.075,0.0119,-0.0002,0.024,0.00618,0.0065
qwen3.6-35b,Qwen3.6-35B,4,40,0.1,0.0151,0.002,0.0282,0.00668,0.0083
qwen3.6-35b,Qwen3.6-35B,5,40,0.125,0.0179,0.0053,0.0305,0.00643,0.0098
qwen3.6-35b,Qwen3.6-35B,6,40,0.15,0.0209,0.0088,0.033,0.00621,0.0115
qwen3.6-35b,Qwen3.6-35B,7,40,0.175,0.024,0.0126,0.0354,0.00579,0.0132
qwen3.6-35b,Qwen3.6-35B,8,40,0.2,0.0319,0.0213,0.0425,0.00538,0.0175
qwen3.6-35b,Qwen3.6-35B,9,40,0.225,0.0399,0.0257,0.054,0.00723,0.0219
qwen3.6-35b,Qwen3.6-35B,10,40,0.25,0.0519,0.0376,0.0662,0.00732,0.0285
qwen3.6-35b,Qwen3.6-35B,11,40,0.275,0.0672,0.0513,0.0831,0.0081,0.0368
qwen3.6-35b,Qwen3.6-35B,12,40,0.3,0.0898,0.071,0.1085,0.00961,0.0492
qwen3.6-35b,Qwen3.6-35B,13,40,0.325,0.1153,0.0933,0.1373,0.01122,0.0632
qwen3.6-35b,Qwen3.6-35B,14,40,0.35,0.1476,0.1203,0.1749,0.01394,0.0809
qwen3.6-35b,Qwen3.6-35B,15,40,0.375,0.1892,0.1558,0.2226,0.01702,0.1038
qwen3.6-35b,Qwen3.6-35B,16,40,0.4,0.2378,0.1988,0.2767,0.01987,0.1304
qwen3.6-35b,Qwen3.6-35B,17,40,0.425,0.3018,0.2561,0.3476,0.02333,0.1655
qwen3.6-35b,Qwen3.6-35B,18,40,0.45,0.3706,0.3138,0.4274,0.02895,0.2033
qwen3.6-35b,Qwen3.6-35B,19,40,0.475,0.4559,0.3901,0.5218,0.03363,0.25
qwen3.6-35b,Qwen3.6-35B,20,40,0.5,0.551,0.4771,0.6249,0.03768,0.3022
qwen3.6-35b,Qwen3.6-35B,21,40,0.525,0.6603,0.5749,0.7458,0.0436,0.3622
qwen3.6-35b,Qwen3.6-35B,22,40,0.55,0.7743,0.676,0.8726,0.05014,0.4246
qwen3.6-35b,Qwen3.6-35B,23,40,0.575,0.9021,0.7963,1.0079,0.05397,0.4947
qwen3.6-35b,Qwen3.6-35B,24,40,0.6,1.0257,0.9126,1.1389,0.05772,0.5625
qwen3.6-35b,Qwen3.6-35B,25,40,0.625,1.161,1.0381,1.2839,0.06271,0.6367
