direction_type,direction_id,delta,target_from_figure,abs_delta
target,target,0.4613,0.4613,0.4613
off_target,off001,0.0162,0.0162,0.0162
off_target,off002,0.0279,0.0279,0.0279
off_target,off003,-0.035,-0.035,0.035
off_target,off004,-0.0532,-0.0532,0.0532
off_target,off005,0.0023,0.0023,0.0023
off_target,off006,0.0348,0.0348,0.0348
off_target,off007,0.0027,0.0027,0.0027
random,rand001,-0.0315,-0.0315,0.0315
random,rand002,-0.0397,-0.0397,0.0397
random,rand003,-0.0176,-0.0176,0.0176
random,rand004,-0.0015,-0.0015,0.0015
random,rand005,-0.0138,-0.0138,0.0138
random,rand006,-0.0342,-0.0342,0.0342
random,rand007,-0.0181,-0.0181,0.0181
random,rand008,-0.0463,-0.0463,0.0463
random,rand009,-0.05,-0.05,0.05
random,rand010,0.0148,0.0148,0.0148
random,rand011,0.0971,0.0971,0.0971
random,rand012,-0.0059,-0.0059,0.0059
random,rand013,0.0144,0.0144,0.0144
random,rand014,-0.0159,-0.0159,0.0159
random,rand015,-0.0513,-0.0513,0.0513
random,rand016,0.0256,0.0256,0.0256
random,rand017,0.0293,0.0293,0.0293
random,rand018,-0.0717,-0.0717,0.0717
random,rand019,-0.025,-0.025,0.025
random,rand020,-0.0256,-0.0256,0.0256
random,rand021,0.0122,0.0122,0.0122
random,rand022,-0.0131,-0.0131,0.0131
random,rand023,0.0631,0.0631,0.0631
random,rand024,0.022,0.022,0.022
random,rand025,-0.0455,-0.0455,0.0455
random,rand026,-0.0514,-0.0514,0.0514
random,rand027,-0.0009,-0.0009,0.0009
random,rand028,-0.013,-0.013,0.013
random,rand029,0.0069,0.0069,0.0069
random,rand030,0.0491,0.0491,0.0491
random,rand031,0.0421,0.0421,0.0421
random,rand032,-0.0573,-0.0573,0.0573
random,rand033,0.0488,0.0488,0.0488
random,rand034,-0.0001,-0.0001,0.0001
random,rand035,-0.0022,-0.0022,0.0022
random,rand036,0.1347,0.1347,0.1347
random,rand037,0.0012,0.0012,0.0012
random,rand038,-0.0071,-0.0071,0.0071
random,rand039,-0.0192,-0.0192,0.0192
random,rand040,0.0159,0.0159,0.0159
random,rand041,0.0349,0.0349,0.0349
random,rand042,-0.0105,-0.0105,0.0105
random,rand043,-0.0114,-0.0114,0.0114
random,rand044,-0.0064,-0.0064,0.0064
random,rand045,-0.0378,-0.0378,0.0378
random,rand046,-0.0701,-0.0701,0.0701
random,rand047,-0.0249,-0.0249,0.0249
random,rand048,-0.021,-0.021,0.021
random,rand049,-0.0288,-0.0288,0.0288
random,rand050,-0.0251,-0.0251,0.0251
random,rand051,0.022,0.022,0.022
random,rand052,-0.0414,-0.0414,0.0414
random,rand053,0.0441,0.0441,0.0441
random,rand054,0.0206,0.0206,0.0206
random,rand055,0.0632,0.0632,0.0632
random,rand056,0.0336,0.0336,0.0336
random,rand057,-0.0441,-0.0441,0.0441
random,rand058,-0.0477,-0.0477,0.0477
random,rand059,0.0156,0.0156,0.0156
random,rand060,0.062,0.062,0.062
